,latitude,longitude,train_station
0,-37.5796938,144.7295281,Sunbury
1,-38.22898635,145.174703410243,Somerville
2,-37.8593822,144.7671404,Laverton
3,-37.8665999,144.7607254,Aircraft
4,-37.8651711,144.8137442,Westona
5,-37.88360825,144.7586157375,Altona
6,-37.8677992,144.8410816,Seaholme
7,-37.781476,144.9997796,Westgarth
8,-37.7792103,145.0083669,Dennis
9,-37.7803992,145.0308824,Alphington
10,-37.7747921,145.0386786,Darebin
11,-38.2010079,145.1568582,Baxter
12,-37.74993,145.063827846821,Ivanhoe
13,-37.7651442,145.0633313,Eaglemont
14,-37.7524788,145.0701284,Heidelberg
15,-37.7396345,145.0696349,Rosanna
16,-37.9414646,145.0578383,Moorabbin
17,-37.92633315,145.054305485234,Bentleigh
18,-37.9105942,145.03863,McKinnon
19,-37.9039946,145.0432907,Ormond
20,-37.8900716,145.0420495,Glenhuntly
21,-37.8594642,145.0585297,Glen Iris
22,-37.877285,145.042831,Caulfield
23,-37.8659859,145.0289902,Malvern
24,-37.8567619,145.0206905,Armadale
25,-37.8416141,145.0176215,Toorak
26,-37.8447857,145.0023151,Hawksburn
27,-37.950301,145.0043875,Sandringham
28,-37.9374028,145.0091238,Hampton
29,-37.9265062,144.9890551,Brighton Beach
30,-37.9149063,144.9965413,Middle Brighton
31,-38.1520554,145.1395763,Leawarra
32,-37.8981194,145.0091824,Gardenvale
33,-37.8858425,145.0070152,Elsternwick
34,-37.8759177,144.995136229862,Ripponlea
35,-37.8702943,144.9947414,Balaclava
36,-37.8545227,144.9921665,Windsor
37,-37.84358055,144.993060985427,Prahran
38,-37.83893845,144.99220415,South Yarra
39,-37.6666477,144.9475674,Upfield
40,-37.7006282,144.958746,Gowrie
41,-37.71478165,144.960420589808,Fawkner
42,-37.8689758,145.062986,Darling
43,-37.72093,144.9613325,Merlynston
44,-37.7335442,144.9628427,Batman
45,-37.74223755,144.964574190352,Coburg
46,-37.754001,144.961882946448,Moreland
47,-37.7607074,144.9607699,Anstey
48,-37.7668613,144.9601333,Brunswick
49,-37.7749324,144.9587247,Jewell
50,-37.7881653,144.9392767,Flemington Bridge
51,-37.7948639,144.9360832,Macaulay
52,-37.876835,145.0658739,East Malvern
53,-37.8073726,144.9426295,North Melbourne
54,-37.78894,144.995167,Clifton Hill
55,-37.802104,144.9881387,Collingwood
56,-37.7068658,144.545425519967,Melton
57,-37.7321518,144.6538568,Rockbank
58,-37.7686602,144.7713077,Deer Park
59,-37.8744871,145.0915408,Holmesglen
